instrumento_id,fecha,precio_cierre_centavos,variacion_pct
inst_cetes_28,2025-09-15,100000,0
inst_cetes_28,2025-09-22,100245,0.002449
inst_cetes_28,2025-09-29,100374,0.00129
inst_cetes_28,2025-10-06,100541,0.001665
inst_cetes_28,2025-10-13,100751,0.002088
inst_cetes_28,2025-10-20,100863,0.001113
inst_cetes_28,2025-10-27,101063,0.001984
inst_cetes_28,2025-11-03,101220,0.001557
inst_cetes_28,2025-11-10,101392,0.001694
inst_cetes_28,2025-11-17,101629,0.00234
inst_cetes_28,2025-11-24,101842,0.002095
inst_cetes_28,2025-12-01,101979,0.001342
inst_cetes_28,2025-12-08,102165,0.001819
inst_cetes_28,2025-12-15,102391,0.00221
inst_cetes_28,2025-12-22,102577,0.001815
inst_cetes_28,2025-12-29,102759,0.001775
inst_cetes_28,2026-01-05,102944,0.001802
inst_cetes_28,2026-01-12,103162,0.002114
inst_cetes_28,2026-01-19,103399,0.002295
inst_cetes_28,2026-01-26,103600,0.001943
inst_cetes_28,2026-02-02,103828,0.002202
inst_cetes_28,2026-02-09,104007,0.001723
inst_cetes_28,2026-02-16,104237,0.002212
inst_cetes_28,2026-02-23,104468,0.002215
inst_cetes_28,2026-03-02,104669,0.001921
inst_cetes_28,2026-03-09,104850,0.001728
inst_cetes_28,2026-03-16,105091,0.002298
inst_cetes_28,2026-03-23,105297,0.001962
inst_cetes_28,2026-03-30,105550,0.002399
inst_cetes_28,2026-04-06,105863,0.002963
inst_cetes_28,2026-04-13,106087,0.002119
inst_cetes_28,2026-04-20,106289,0.001902
inst_cetes_28,2026-04-27,106374,0.000802
inst_cetes_28,2026-05-04,106575,0.001893
inst_cetes_28,2026-05-11,106834,0.00243
inst_cetes_28,2026-05-18,107043,0.001959
inst_cetes_28,2026-05-25,107287,0.002279
inst_cetes_28,2026-06-01,107479,0.001786
inst_cetes_28,2026-06-08,107696,0.002019
inst_cetes_28,2026-06-15,107823,0.001183
inst_cetes_28,2026-06-22,107939,0.001073
inst_cetes_28,2026-06-29,107955,0.000151
inst_cetes_28,2026-07-06,108209,0.002352
inst_cetes_28,2026-07-13,108496,0.00265
inst_cetes_28,2026-07-20,108708,0.001951
inst_cetes_28,2026-07-27,108855,0.001355
inst_cetes_28,2026-08-03,109063,0.001907
inst_cetes_28,2026-08-10,109185,0.00112
inst_cetes_28,2026-08-17,109412,0.002077
inst_cetes_28,2026-08-24,109570,0.001441
inst_cetes_28,2026-08-31,109924,0.003231
inst_cetes_28,2026-09-07,110111,0.001699
inst_cetes_28,2026-09-14,110334,0.002028
inst_cetes_91,2025-09-15,100000,0
inst_cetes_91,2025-09-22,100209,0.002092
inst_cetes_91,2025-09-29,100465,0.002557
inst_cetes_91,2025-10-06,100755,0.002885
inst_cetes_91,2025-10-13,100880,0.001236
inst_cetes_91,2025-10-20,101125,0.002426
inst_cetes_91,2025-10-27,101237,0.001112
inst_cetes_91,2025-11-03,101471,0.002314
inst_cetes_91,2025-11-10,101876,0.003988
inst_cetes_91,2025-11-17,102229,0.003463
inst_cetes_91,2025-11-24,102471,0.002369
inst_cetes_91,2025-12-01,102582,0.001088
inst_cetes_91,2025-12-08,102749,0.001624
inst_cetes_91,2025-12-15,102880,0.001275
inst_cetes_91,2025-12-22,103042,0.001574
inst_cetes_91,2025-12-29,103231,0.001834
inst_cetes_91,2026-01-05,103354,0.001193
inst_cetes_91,2026-01-12,103636,0.002724
inst_cetes_91,2026-01-19,103855,0.002113
inst_cetes_91,2026-01-26,103914,0.000567
inst_cetes_91,2026-02-02,104063,0.001436
inst_cetes_91,2026-02-09,104171,0.001036
inst_cetes_91,2026-02-16,104477,0.002933
inst_cetes_91,2026-02-23,105037,0.005358
inst_cetes_91,2026-03-02,105145,0.001032
inst_cetes_91,2026-03-09,105344,0.001892
inst_cetes_91,2026-03-16,105362,0.000174
inst_cetes_91,2026-03-23,105555,0.001833
inst_cetes_91,2026-03-30,105834,0.002645
inst_cetes_91,2026-04-06,106028,0.00183
inst_cetes_91,2026-04-13,106233,0.00193
inst_cetes_91,2026-04-20,106527,0.002765
inst_cetes_91,2026-04-27,106748,0.002076
inst_cetes_91,2026-05-04,106947,0.001864
inst_cetes_91,2026-05-11,107187,0.002246
inst_cetes_91,2026-05-18,107119,-0.000635
inst_cetes_91,2026-05-25,107236,0.001093
inst_cetes_91,2026-06-01,107494,0.00241
inst_cetes_91,2026-06-08,107654,0.001486
inst_cetes_91,2026-06-15,108110,0.00424
inst_cetes_91,2026-06-22,108311,0.00186
inst_cetes_91,2026-06-29,108517,0.0019
inst_cetes_91,2026-07-06,108634,0.001077
inst_cetes_91,2026-07-13,108770,0.001255
inst_cetes_91,2026-07-20,109135,0.003351
inst_cetes_91,2026-07-27,109411,0.002528
inst_cetes_91,2026-08-03,109570,0.00145
inst_cetes_91,2026-08-10,109849,0.002545
inst_cetes_91,2026-08-17,110043,0.001762
inst_cetes_91,2026-08-24,110269,0.002052
inst_cetes_91,2026-08-31,110388,0.001079
inst_cetes_91,2026-09-07,110656,0.002424
inst_cetes_91,2026-09-14,110938,0.002551
inst_cetes_182,2025-09-15,100000,0
inst_cetes_182,2025-09-22,100097,0.000971
inst_cetes_182,2025-09-29,100254,0.00157
inst_cetes_182,2025-10-06,100404,0.0015
inst_cetes_182,2025-10-13,100571,0.001664
inst_cetes_182,2025-10-20,100795,0.002232
inst_cetes_182,2025-10-27,100888,0.000926
inst_cetes_182,2025-11-03,100898,0.000101
inst_cetes_182,2025-11-10,101054,0.001547
inst_cetes_182,2025-11-17,101178,0.001226
inst_cetes_182,2025-11-24,101441,0.002598
inst_cetes_182,2025-12-01,101707,0.002623
inst_cetes_182,2025-12-08,102112,0.003981
inst_cetes_182,2025-12-15,102041,-0.000698
inst_cetes_182,2025-12-22,102324,0.002771
inst_cetes_182,2025-12-29,102418,0.00092
inst_cetes_182,2026-01-05,102521,0.001009
inst_cetes_182,2026-01-12,102707,0.001818
inst_cetes_182,2026-01-19,102991,0.002768
inst_cetes_182,2026-01-26,103107,0.001124
inst_cetes_182,2026-02-02,103212,0.001016
inst_cetes_182,2026-02-09,103431,0.002122
inst_cetes_182,2026-02-16,103577,0.001416
inst_cetes_182,2026-02-23,103783,0.001987
inst_cetes_182,2026-03-02,103894,0.001066
inst_cetes_182,2026-03-09,103987,0.0009
inst_cetes_182,2026-03-16,104106,0.001144
inst_cetes_182,2026-03-23,104061,-0.000433
inst_cetes_182,2026-03-30,104122,0.000584
inst_cetes_182,2026-04-06,104443,0.003087
inst_cetes_182,2026-04-13,104488,0.000432
inst_cetes_182,2026-04-20,104587,0.000948
inst_cetes_182,2026-04-27,104684,0.000925
inst_cetes_182,2026-05-04,104688,0.000035
inst_cetes_182,2026-05-11,104978,0.002772
inst_cetes_182,2026-05-18,105290,0.002969
inst_cetes_182,2026-05-25,105528,0.002263
inst_cetes_182,2026-06-01,105447,-0.00077
inst_cetes_182,2026-06-08,105650,0.001927
inst_cetes_182,2026-06-15,105897,0.002336
inst_cetes_182,2026-06-22,106085,0.001777
inst_cetes_182,2026-06-29,106283,0.001864
inst_cetes_182,2026-07-06,106667,0.003615
inst_cetes_182,2026-07-13,106991,0.00304
inst_cetes_182,2026-07-20,107315,0.003032
inst_cetes_182,2026-07-27,107430,0.001069
inst_cetes_182,2026-08-03,107837,0.003791
inst_cetes_182,2026-08-10,108255,0.003875
inst_cetes_182,2026-08-17,108463,0.001917
inst_cetes_182,2026-08-24,108793,0.003039
inst_cetes_182,2026-08-31,109221,0.003938
inst_cetes_182,2026-09-07,109274,0.000489
inst_cetes_182,2026-09-14,109417,0.001309
inst_bondia,2025-09-15,245800,0
inst_bondia,2025-09-22,246123,0.001313
inst_bondia,2025-09-29,246648,0.002132
inst_bondia,2025-10-06,246988,0.001379
inst_bondia,2025-10-13,247530,0.002193
inst_bondia,2025-10-20,247976,0.001802
inst_bondia,2025-10-27,248310,0.001346
inst_bondia,2025-11-03,248773,0.001865
inst_bondia,2025-11-10,249128,0.001428
inst_bondia,2025-11-17,249700,0.002296
inst_bondia,2025-11-24,250214,0.00206
inst_bondia,2025-12-01,250492,0.001112
inst_bondia,2025-12-08,251017,0.002095
inst_bondia,2025-12-15,251599,0.00232
inst_bondia,2025-12-22,252015,0.001652
inst_bondia,2025-12-29,252535,0.002062
inst_bondia,2026-01-05,253034,0.001978
inst_bondia,2026-01-12,253412,0.001495
inst_bondia,2026-01-19,253991,0.002287
inst_bondia,2026-01-26,254553,0.002214
inst_bondia,2026-02-02,255019,0.001831
inst_bondia,2026-02-09,255395,0.001475
inst_bondia,2026-02-16,255831,0.001707
inst_bondia,2026-02-23,256250,0.001639
